;1996;2000;2003;2006;2008;2010;2012;2015;2017
GM0817;('154', '3');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0571;('32', '0');('32', '0');('34', '3');('33', '3');('33', '2');('28', '3');('27', '3');('', '')
GM0170;('168', '14');('168', '14');('', '');('', '');('', '');('', '');('', '');('', '')
GM0818;('55', '1');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0104;('236', '13');('236', '13');('236', '8');('242', '11');('239', '11');('239', '10');('', '');('', '')
GM0121;('71', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1695;('415', '0');('419', '0');('412', '2');('407', '2');('399', '1');('401', '2');('384', '2');('380', '2')
GM0529;('133', '21');('133', '20');('133', '20');('146', '23');('', '');('', '');('', '');('', '')
GM0576;('94', '8');('93', '5');('97', '8');('103', '8');('104', '6');('106', '8');('107', '9');('100', '9')
GM0577;('19', '0');('19', '36');('', '');('', '');('', '');('', '');('', '');('', '')
GM0120;('149', '2');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0951;('103', '6');('104', '3');('108', '3');('108', '4');('106', '4');('105', '5');('103', '5');('103', '4')
GM0429;('58', '2');('59', '2');('57', '1');('56', '3');('', '');('', '');('', '');('', '')
GM0122;('256', '15');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0174;('135', '0');('135', '10');('', '');('', '');('', '');('', '');('', '');('', '')
GM1773;('', '');('', '');('271', '6');('268', '6');('263', '4');('276', '4');('269', '4');('262', '13')
GM0881;('60', '0');('58', '0');('62', '0');('61', '0');('61', '0');('61', '0');('60', '0');('59', '0')
GM0825;('59', '2');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0692;('608', '48');('613', '71');('', '');('', '');('', '');('', '');('', '');('', '')
GM0123;('148', '12');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0580;('304', '14');('312', '14');('323', '8');('335', '8');('335', '8');('339', '8');('310', '10');('', '')
GM0176;('13', '4');('17', '4');('', '');('', '');('', '');('', '');('', '');('', '')
GM0432;('90', '16');('90', '17');('92', '19');('93', '12');('94', '12');('91', '9');('87', '11');('87', '14')
GM0829;('65', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
